Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
263;20902;"Environment, Development and Sustainability";journal;"1387585X, 15732975";0,548;Q2;52;343;387;20203;903;383;2,38;58,90;Netherlands;Western Europe;"Springer Netherlands";"1999-2020";"Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)"
264;11800154594;"AStA Advances in Statistical Analysis";journal;"1863818X, 18638171";0,546;Q2;24;33;71;1072;75;70;1,14;32,48;Germany;Western Europe;"Springer Verlag";"2008-2020";"Applied Mathematics (Q2); Economics and Econometrics (Q2); Modeling and Simulation (Q2); Social Sciences (miscellaneous) (Q2); Analysis (Q3); Statistics and Probability (Q3)"
265;29008;"Journal of Post Keynesian Economics";journal;"01603477";0,546;Q2;38;33;90;1443;67;88;0,82;43,73;United States;Northern America;"M.E. Sharpe Inc.";"1985, 1989, 1996-2020";"Economics and Econometrics (Q2)"
266;21100463803;"Regional Studies, Regional Science";journal;"21681376";0,546;Q2;14;49;103;1936;187;96;1,48;39,51;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Economics and Econometrics (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
267;16230;"Global Finance Journal";journal;"10440283";0,544;Q2;32;61;94;2430;213;87;2,07;39,84;Netherlands;Western Europe;"Elsevier";"1989-2020";"Economics and Econometrics (Q2); Finance (Q2)"
268;21100829274;"Journal of International Studies";journal;"20718330, 23063483";0,541;Q2;15;88;238;3799;545;237;2,42;43,17;Poland;Eastern Europe;"Centre of Sociological Research";"2009-2019";"Business and International Management (Q2); Economics and Econometrics (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)"
269;19709;"Education Economics";journal;"09645292, 14695782";0,539;Q2;33;42;111;1849;131;108;1,16;44,02;United Kingdom;Western Europe;"Routledge";"1993-2020";"Economics and Econometrics (Q2); Education (Q2)"
270;24089;"North American Journal of Economics and Finance";journal;"10629408";0,536;Q2;34;237;250;11319;505;232;1,90;47,76;United States;Northern America;"Elsevier Inc.";"1992-2020";"Economics and Econometrics (Q2); Finance (Q2)"
271;20176;"Business Economics";journal;"0007666X, 1554432X";0,535;Q2;12;32;97;389;59;84;0,58;12,16;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1987, 1997, 2006-2020";"Business and International Management (Q2); Economics and Econometrics (Q2)"
272;15500;"Journal of Family and Economic Issues";journal;"15733475, 10580476";0,534;Q2;43;64;141;3525;214;136;1,24;55,08;United States;Northern America;"Springer International Publishing AG";"1992-2020";"Economics and Econometrics (Q2); Social Psychology (Q2)"
